Year,Transect,Position,Organism
1992,2,sheltered,Chondrus crispus
1992,5,sheltered,Semibalanus balanoides
1992,5,sheltered,Ascophyllum nodosum
1992,5,sheltered,Chondrus crispus
1992,5,sheltered,Hildenbrandia rubra
1992,5,sheltered,Verrucaria 
1992,5,sheltered,Fucus distichus
1992,5,sheltered,Corallina 
1992,5,sheltered,Mytilus edulis
1992,5,sheltered,Fucus vesiculosus var. spiralis
1992,5,sheltered,Fucus vesiculosus
1992,5,sheltered,Mastocarpus stellatus
1992,5,sheltered,Chaetomorpha ligustica
1992,7,sheltered,Prasiola stipitata
1992,7,sheltered,Verrucaria 
1992,7,sheltered,Arthopyrenia
1992,7,sheltered,Clathromorphum circumscriptum
1992,7,sheltered,Corallina 
1992,7,sheltered,Semibalanus balanoides
1992,7,sheltered,Ascophyllum nodosum
1992,7,sheltered,Ascophyllum nodosum
1992,7,sheltered,Elachista fucicola
1992,7,sheltered,Fucus vesiculosus var. spiralis
1992,7,sheltered,Hildenbrandia rubra
1992,7,sheltered,Mastocarpus stellatus
1992,7,sheltered,Mytilus edulis
1992,7,sheltered,Polysiphonia
1992,7,sheltered,Chondrus crispus
1992,7,sheltered,Phymatolithon lenormandii
1992,7,sheltered,Fucus 
1992,7,sheltered,Chaetomorpha
1992,7,sheltered,Chondrus crispus
1992,7,sheltered,Ulva lactuca
1992,7,sheltered,Chaetomorpha ligustica
1992,7,sheltered,Ulva intestinalis
1992,7,sheltered,Fucus distichus
1992,7,sheltered,Fucus 
1992,7,sheltered,Ceramium virgatum
1992,7,sheltered,Fucus vesiculosus
1992,7,sheltered,Modiolus modiolus
1992,7,sheltered,Corallina officinalis
1992,7,sheltered,Cladophora
1992,7,sheltered,Plumaria plumosa
1992,7,sheltered,Ahnfeltia plicata
1992,8,sheltered,Cyanobacteria
1992,8,sheltered,Prasiola stipitata
1992,8,sheltered,Verrucaria 
1992,8,sheltered,Semibalanus balanoides
1992,8,sheltered,Ascophyllum nodosum
1992,8,sheltered,Ascophyllum nodosum
1992,8,sheltered,Chondrus crispus
1992,8,sheltered,Clathromorphum circumscriptum
1992,8,sheltered,Hildenbrandia rubra
1992,8,sheltered,Mytilus edulis
1992,8,sheltered,Phymatolithon lenormandii
1992,8,sheltered,Fucus 
1992,8,sheltered,Mastocarpus stellatus
1992,8,sheltered,Ceramium virgatum
1992,8,sheltered,Ulva lactuca
1992,8,sheltered,Chaetomorpha
1992,8,sheltered,Chondrus crispus
1992,8,sheltered,Fucus 
1992,8,sheltered,Fucus distichus
1992,8,sheltered,Leathesia marina
1992,8,sheltered,Mastocarpus stellatus
1992,8,sheltered,Chaetomorpha ligustica
1992,8,sheltered,Cladophora
1992,8,sheltered,Mastocarpus stellatus
1992,8,sheltered,Fucus vesiculosus
1992,8,sheltered,Elachista fucicola
1992,8,sheltered,Vertebrata lanosa
1992,8,sheltered,Codium fragile
1992,8,sheltered,Saccorhiza dermatodea
1992,13,exposed,Cyanobacteria
1992,13,exposed,Verrucaria 
1992,13,exposed,Semibalanus balanoides
1992,13,exposed,Arthopyrenia
1992,13,exposed,Mytilus edulis
1992,13,exposed,Elachista fucicola
1992,13,exposed,Fucus 
1992,13,exposed,Fucus vesiculosus var. spiralis
1992,13,exposed,Hildenbrandia rubra
1992,13,exposed,Ulva lactuca
1992,13,exposed,Ascophyllum nodosum
1992,13,exposed,Mastocarpus stellatus
1992,13,exposed,Mastocarpus stellatus
1992,13,exposed,Chondrus crispus
1992,13,exposed,Vertebrata lanosa
1992,13,exposed,Ceramium virgatum
1992,13,exposed,Chondrus crispus
1992,13,exposed,Mastocarpus stellatus
1992,13,exposed,Fucus distichus
1992,13,exposed,Phymatolithon lenormandii
1992,13,exposed,Leathesia marina
1992,13,exposed,Modiolus modiolus
1992,14,exposed,Cyanobacteria
1992,14,exposed,Arthopyrenia
1992,14,exposed,Semibalanus balanoides
1992,14,exposed,Fucus vesiculosus var. spiralis
1992,14,exposed,Mytilus edulis
1992,14,exposed,Ascophyllum nodosum
1992,14,exposed,Hildenbrandia rubra
1992,14,exposed,Verrucaria 
1992,14,exposed,Chondrus crispus
1992,14,exposed,Fucus distichus
1992,14,exposed,Mastocarpus stellatus
1992,14,exposed,Ulva lactuca
1992,14,exposed,Ceramium virgatum
1992,14,exposed,Phymatolithon lenormandii
1992,14,exposed,Chondrus crispus
1992,14,exposed,Porphyra
1992,14,exposed,Palmaria palmata
1992,14,exposed,Alaria esculenta
1992,14,exposed,Leathesia marina
1992,14,exposed,Corallina officinalis
1992,15,exposed,Arthopyrenia
1992,15,exposed,Semibalanus balanoides
1992,15,exposed,Mytilus edulis
1992,15,exposed,Hildenbrandia rubra
1992,15,exposed,Fucus 
1992,15,exposed,Ceramium virgatum
1992,15,exposed,Modiolus modiolus
1992,15,exposed,Ascophyllum nodosum
1992,15,exposed,Leathesia marina
1992,15,exposed,Mastocarpus stellatus
1992,15,exposed,Ulva lactuca
1992,15,exposed,Alaria esculenta
1992,17,exposed,Cyanobacteria
1992,17,exposed,Arthopyrenia
1992,17,exposed,Semibalanus balanoides
1992,17,exposed,Fucus 
1992,17,exposed,Hildenbrandia rubra
1992,17,exposed,Chondrus crispus
1992,17,exposed,Cladophora
1992,17,exposed,Ralfsia 
1992,19,exposed,Cyanobacteria
1992,19,exposed,Arthopyrenia
1992,19,exposed,Semibalanus balanoides
1992,19,exposed,Hildenbrandia rubra
1992,19,exposed,Fucus 
1992,19,exposed,Mytilus edulis
1992,19,exposed,Verrucaria 
1992,19,exposed,Fucus 
1992,19,exposed,Fucus vesiculosus var. spiralis
1992,19,exposed,Ascophyllum nodosum
1992,19,exposed,Fucus distichus
1992,19,exposed,Ceramium virgatum
1992,19,exposed,Chondrus crispus
1992,19,exposed,Mastocarpus stellatus
1992,19,exposed,Porphyra
1992,19,exposed,Chondrus crispus
1992,19,exposed,Mastocarpus stellatus
1992,19,exposed,Leathesia marina
1992,19,exposed,Ulva lactuca
1992,19,exposed,Mastocarpus stellatus
1992,20,exposed,Arthopyrenia
1992,20,exposed,Semibalanus balanoides
1992,20,exposed,Hildenbrandia rubra
1992,20,exposed,Fucus 
1992,20,exposed,Mytilus edulis
1992,20,exposed,Porphyra
1992,20,exposed,Fucus vesiculosus var. spiralis
1992,20,exposed,Saccharina latissima
1992,20,exposed,Modiolus modiolus
1992,20,exposed,Verrucaria 
1992,20,exposed,Ceramium virgatum
1992,20,exposed,Chondrus crispus
1992,20,exposed,Elachista fucicola
1992,20,exposed,Fucus distichus
1992,20,exposed,Mastocarpus stellatus
1992,20,exposed,Ulva lactuca
1992,20,exposed,Leathesia marina
1992,20,exposed,Cladophora
1992,20,exposed,Alaria esculenta
1992,20,exposed,Chordaria flagelliformis
1992,21,exposed,Cyanobacteria
1992,21,exposed,Arthopyrenia
1992,21,exposed,Semibalanus balanoides
1992,21,exposed,Fucus vesiculosus var. spiralis
1992,21,exposed,Mytilus edulis
1992,21,exposed,Scytosiphon lomentaria 
1992,21,exposed,Ceramium virgatum
1992,21,exposed,Fucus distichus
1992,21,exposed,Hildenbrandia rubra
1992,21,exposed,Fucus vesiculosus
1992,21,exposed,Ulva lactuca
1992,21,exposed,Leathesia marina
1992,21,exposed,Mastocarpus stellatus
1992,21,exposed,Alaria esculenta
1992,21,exposed,Corallina officinalis
1992,21,exposed,Chondrus crispus
1992,21,exposed,Porphyra
1992,22,exposed,Arthopyrenia
1992,22,exposed,Semibalanus balanoides
1992,22,exposed,Mytilus edulis
1992,22,exposed,Fucus distichus
1992,22,exposed,Hildenbrandia rubra
1992,22,exposed,Ahnfeltia plicata
1992,22,exposed,Ceramium virgatum
1992,22,exposed,Fucus 
1992,22,exposed,Porphyra
1992,22,exposed,Chaetomorpha ligustica
1992,22,exposed,Ulva lactuca
1992,22,exposed,Chaetomorpha
1992,22,exposed,Verrucaria 
1992,22,exposed,Ascophyllum nodosum
1992,22,exposed,Alaria esculenta
1992,22,exposed,Chondrus crispus
1992,22,exposed,Mastocarpus stellatus
1992,22,exposed,Ralfsia 
1992,24,exposed,Arthopyrenia
1992,24,exposed,Fucus vesiculosus var. spiralis
1992,24,exposed,Mytilus edulis
1992,24,exposed,Semibalanus balanoides
1992,24,exposed,Chondrus crispus
1992,24,exposed,Fucus 
1992,24,exposed,Hildenbrandia rubra
1992,24,exposed,Verrucaria 
1992,24,exposed,Ascophyllum nodosum
1992,24,exposed,Ascophyllum nodosum
1992,24,exposed,Fucus distichus
1992,24,exposed,Antithamnion
1992,24,exposed,Ectocarpus
1992,24,exposed,Porphyra
1992,24,exposed,Chaetomorpha ligustica
1992,24,exposed,Ulva intestinalis
1992,24,exposed,Ulva lactuca
1992,24,exposed,Mastocarpus stellatus
1992,24,exposed,Corallina 
1992,24,exposed,Fucus vesiculosus
1992,24,exposed,Plumaria plumosa
1992,24,exposed,Polysiphonia
1992,24,exposed,Chorda filum
1992,24,exposed,Chondrus crispus
1992,24,exposed,Ceramium virgatum
1992,24,exposed,Corallina officinalis
1992,24,exposed,Codium fragile
1992,26,sheltered,Arthopyrenia
1992,26,sheltered,Semibalanus balanoides
1992,26,sheltered,Ascophyllum nodosum
1992,26,sheltered,Ascophyllum nodosum
1992,26,sheltered,Fucus 
1992,26,sheltered,Fucus vesiculosus var. spiralis
1992,26,sheltered,Hildenbrandia rubra
1992,26,sheltered,Chondrus crispus
1992,26,sheltered,Fucus vesiculosus
1992,26,sheltered,Corallina 
1992,26,sheltered,Mastocarpus stellatus
1992,26,sheltered,Mastocarpus stellatus
1992,26,sheltered,Modiolus modiolus
1992,26,sheltered,Chondrus crispus
1992,26,sheltered,Mastocarpus stellatus
1992,26,sheltered,Ulva lactuca
1992,26,sheltered,Fucus distichus
1992,26,sheltered,Chaetomorpha ligustica
1992,26,sheltered,Corallina officinalis
1992,26,sheltered,Ralfsia 
1992,26,sheltered,Ulva intestinalis
1992,28,sheltered,Prasiola stipitata
1992,28,sheltered,Arthopyrenia
1992,28,sheltered,Ascophyllum nodosum
1992,28,sheltered,Ascophyllum nodosum
1992,28,sheltered,Semibalanus balanoides
1992,28,sheltered,Fucus vesiculosus var. spiralis
1992,28,sheltered,Halichondria
1992,28,sheltered,Mastocarpus stellatus
1992,28,sheltered,Corallina 
1992,28,sheltered,Verrucaria 
1992,28,sheltered,Fucus 
1992,28,sheltered,Fucus distichus
1992,28,sheltered,Mytilus edulis
1992,28,sheltered,Mastocarpus stellatus
1992,28,sheltered,Ceramium virgatum
1992,28,sheltered,Chondrus crispus
1992,28,sheltered,Chaetomorpha ligustica
1992,28,sheltered,Ulva lactuca
1992,28,sheltered,Cladophora
1992,28,sheltered,Leathesia marina
1993,2,sheltered,Arthopyrenia
1993,2,sheltered,Prasiola stipitata
1993,2,sheltered,Hildenbrandia rubra
1993,2,sheltered,Semibalanus balanoides
1993,2,sheltered,Fucus 
1993,2,sheltered,Mytilus edulis
1993,2,sheltered,Verrucaria 
1993,2,sheltered,Fucus 
1993,2,sheltered,Fucus vesiculosus var. spiralis
1993,2,sheltered,Fucus vesiculosus
1993,2,sheltered,Ascophyllum nodosum
1993,2,sheltered,Mastocarpus stellatus
1993,2,sheltered,Mastocarpus stellatus
1993,2,sheltered,Modiolus modiolus
1993,2,sheltered,Ascophyllum nodosum
1993,2,sheltered,Chondrus crispus
1993,2,sheltered,Chondrus crispus
1993,2,sheltered,Plumaria plumosa
1993,2,sheltered,Corallina 
1993,2,sheltered,Pylaiella littoralis
1993,2,sheltered,Ulva lactuca
1993,2,sheltered,Leathesia marina
1993,2,sheltered,Chaetomorpha ligustica
1993,2,sheltered,Ceramium virgatum
1993,2,sheltered,Ulva intestinalis
1993,2,sheltered,Corallina officinalis
1993,2,sheltered,Chaetomorpha
1993,2,sheltered,Chordaria flagelliformis
1993,5,sheltered,Arthopyrenia
1993,5,sheltered,Ascophyllum nodosum
1993,5,sheltered,Ascophyllum nodosum
1993,5,sheltered,Hildenbrandia rubra
1993,5,sheltered,Mastocarpus stellatus
1993,5,sheltered,Semibalanus balanoides
1993,5,sheltered,Verrucaria 
1993,5,sheltered,Corallina officinalis
1993,5,sheltered,Ulva lactuca
1993,5,sheltered,Fucus 
1993,5,sheltered,Fucus 
1993,5,sheltered,Fucus vesiculosus var. spiralis
1993,5,sheltered,Mytilus edulis
1993,5,sheltered,Corallina 
1993,5,sheltered,Cryptosula pallasiana
1993,5,sheltered,Metridium dianthus
1993,5,sheltered,Chaetomorpha
1993,5,sheltered,Chondrus crispus
1993,5,sheltered,Chondrus crispus
1993,5,sheltered,Mastocarpus stellatus
1993,5,sheltered,Modiolus modiolus
1993,5,sheltered,Chaetomorpha ligustica
1993,5,sheltered,Codium fragile
1993,7,sheltered,Prasiola stipitata
1993,7,sheltered,Arthopyrenia
1993,7,sheltered,Semibalanus balanoides
1993,7,sheltered,Fucus vesiculosus var. spiralis
1993,7,sheltered,Verrucaria 
1993,7,sheltered,Ascophyllum nodosum
1993,7,sheltered,Hildenbrandia rubra
1993,7,sheltered,Mastocarpus stellatus
1993,7,sheltered,Modiolus modiolus
1993,7,sheltered,Ralfsia 
1993,7,sheltered,Fucus 
1993,7,sheltered,Ascophyllum nodosum
1993,7,sheltered,Mastocarpus stellatus
1993,7,sheltered,Polysiphonia
1993,7,sheltered,Elachista fucicola
1993,7,sheltered,Ulva lactuca
1993,7,sheltered,Fucus distichus
1993,7,sheltered,Mytilus edulis
1993,7,sheltered,Corallina 
1993,7,sheltered,Fucus 
1993,7,sheltered,Fucus vesiculosus
1993,7,sheltered,Chondrus crispus
1993,7,sheltered,Chondrus crispus
1993,7,sheltered,Chaetomorpha ligustica
1993,7,sheltered,Corallina officinalis
1993,8,sheltered,Cyanobacteria
1993,8,sheltered,Prasiola stipitata
1993,8,sheltered,Arthopyrenia
1993,8,sheltered,Verrucaria 
1993,8,sheltered,Ascophyllum nodosum
1993,8,sheltered,Ascophyllum nodosum
1993,8,sheltered,Corallina 
1993,8,sheltered,Hildenbrandia rubra
1993,8,sheltered,Mytilus edulis
1993,8,sheltered,Semibalanus balanoides
1993,8,sheltered,Elachista fucicola
1993,8,sheltered,Mastocarpus stellatus
1993,8,sheltered,Polysiphonia
1993,8,sheltered,Bangia atropurpurea
1993,8,sheltered,Fucus 
1993,8,sheltered,Fucus 
1993,8,sheltered,Ulva lactuca
1993,8,sheltered,Corallina officinalis
1993,8,sheltered,Fucus vesiculosus var. spiralis
1993,8,sheltered,Modiolus modiolus
1993,8,sheltered,Chondrus crispus
1993,8,sheltered,Mastocarpus stellatus
1993,8,sheltered,Clathromorphum circumscriptum
1993,8,sheltered,Fucus vesiculosus
1993,8,sheltered,Fucus distichus
1993,8,sheltered,Chondrus crispus
1993,13,exposed,Verrucaria 
1993,13,exposed,Prasiola stipitata
1993,13,exposed,Cyanobacteria
1993,13,exposed,Hildenbrandia rubra
1993,13,exposed,Semibalanus balanoides
1993,13,exposed,Arthopyrenia
1993,13,exposed,Fucus 
1993,13,exposed,Fucus 
1993,13,exposed,Mytilus edulis
1993,13,exposed,Ascophyllum nodosum
1993,13,exposed,Corallina 
1993,13,exposed,Ascophyllum nodosum
1993,13,exposed,Mastocarpus stellatus
1993,13,exposed,Ulva intestinalis
1993,13,exposed,Elachista fucicola
1993,13,exposed,Ceramium virgatum
1993,13,exposed,Mastocarpus stellatus
1993,13,exposed,Ulva lactuca
1993,13,exposed,Chondrus crispus
1993,13,exposed,Chondrus crispus
1993,13,exposed,Cryptosula pallasiana
1993,13,exposed,Polysiphonia
1993,13,exposed,Chaetomorpha ligustica
1993,13,exposed,Halichondria
1993,13,exposed,Clathromorphum circumscriptum
1993,13,exposed,Porphyra
1993,13,exposed,Modiolus modiolus
1993,13,exposed,Leathesia marina
1993,13,exposed,Alaria esculenta
1993,13,exposed,Alaria esculenta
1993,15,exposed,Semibalanus balanoides
1993,15,exposed,Mytilus edulis
1993,15,exposed,Verrucaria 
1993,15,exposed,Hildenbrandia rubra
1993,15,exposed,Fucus distichus
1993,15,exposed,Fucus 
1993,15,exposed,Ceramium virgatum
1993,15,exposed,Mastocarpus stellatus
1993,15,exposed,Alaria esculenta
1993,15,exposed,Chondrus crispus
1993,15,exposed,Mastocarpus stellatus
1993,15,exposed,Corallina 
1993,15,exposed,Corallina officinalis
1993,15,exposed,Ulva lactuca
1993,20,exposed,Prasiola stipitata
1993,20,exposed,Hildenbrandia rubra
1993,20,exposed,Semibalanus balanoides
1993,20,exposed,Arthopyrenia
1993,20,exposed,Fucus 
1993,20,exposed,Mytilus edulis
1993,20,exposed,Fucus distichus
1993,20,exposed,Ceramium virgatum
1993,20,exposed,Chondrus crispus
1993,20,exposed,Modiolus modiolus
1993,20,exposed,Chondrus crispus
1993,20,exposed,Leathesia marina
1993,20,exposed,Alaria esculenta
1993,20,exposed,Mastocarpus stellatus
1993,20,exposed,Corallina 
1993,22,exposed,Arthopyrenia
1993,22,exposed,Hildenbrandia rubra
1993,22,exposed,Semibalanus balanoides
1993,22,exposed,Mytilus edulis
1993,22,exposed,Fucus 
1993,22,exposed,Porphyra
1993,22,exposed,Fucus distichus
1993,22,exposed,Fucus 
1993,22,exposed,Ceramium virgatum
1993,22,exposed,Mastocarpus stellatus
1993,22,exposed,Verrucaria 
1993,22,exposed,Alaria esculenta
1993,22,exposed,Alaria esculenta
1993,22,exposed,Ulva lactuca
1993,24,exposed,Arthopyrenia
1993,24,exposed,Semibalanus balanoides
1993,24,exposed,Fucus vesiculosus var. spiralis
1993,24,exposed,Hildenbrandia rubra
1993,24,exposed,Modiolus modiolus
1993,24,exposed,Mytilus edulis
1993,24,exposed,Fucus distichus
1993,24,exposed,Fucus 
1993,24,exposed,Fucus 
1993,24,exposed,Ascophyllum nodosum
1993,24,exposed,Ascophyllum nodosum
1993,24,exposed,Ulva lactuca
1993,24,exposed,Chondrus crispus
1993,24,exposed,Corallina 
1993,24,exposed,Leathesia marina
1993,24,exposed,Porphyra
1993,24,exposed,Sphacelaria
1993,24,exposed,Verrucaria 
1993,24,exposed,Ceramium virgatum
1993,24,exposed,Polysiphonia
1993,24,exposed,Chaetomorpha
1993,24,exposed,Erythrotrichia carnea
1993,24,exposed,Chaetomorpha ligustica
1993,24,exposed,Chondrus crispus
1993,24,exposed,Mastocarpus stellatus
1993,24,exposed,Mastocarpus stellatus
1993,24,exposed,Fucus vesiculosus
1993,26,sheltered,Prasiola stipitata
1993,26,sheltered,Arthopyrenia
1993,26,sheltered,Semibalanus balanoides
1993,26,sheltered,Ascophyllum nodosum
1993,26,sheltered,Ascophyllum nodosum
1993,26,sheltered,Chondrus crispus
1993,26,sheltered,Fucus vesiculosus
1993,26,sheltered,Hildenbrandia rubra
1993,26,sheltered,Fucus 
1993,26,sheltered,Fucus 
1993,26,sheltered,Chondrus crispus
1993,26,sheltered,Corallina 
1993,26,sheltered,Mytilus edulis
1993,26,sheltered,Mastocarpus stellatus
1993,26,sheltered,Mastocarpus stellatus
1993,26,sheltered,Fucus vesiculosus var. spiralis
1993,26,sheltered,Chaetomorpha ligustica
1993,26,sheltered,Cladophora
1993,26,sheltered,Fucus distichus
1993,26,sheltered,Leathesia marina
1993,26,sheltered,Ulva lactuca
1993,26,sheltered,Chordaria flagelliformis
1993,26,sheltered,Codium fragile
1993,26,sheltered,Clathromorphum circumscriptum
1993,28,sheltered,Arthopyrenia
1993,28,sheltered,Prasiola stipitata
1993,28,sheltered,Semibalanus balanoides
1993,28,sheltered,Fucus 
1993,28,sheltered,Mytilus edulis
1993,28,sheltered,Fucus vesiculosus var. spiralis
1993,28,sheltered,Halichondria
1993,28,sheltered,Ascophyllum nodosum
1993,28,sheltered,Ascophyllum nodosum
1993,28,sheltered,Corallina 
1993,28,sheltered,Mastocarpus stellatus
1993,28,sheltered,Mastocarpus stellatus
1993,28,sheltered,Verrucaria 
1993,28,sheltered,Chondrus crispus
1993,28,sheltered,Chondrus crispus
1993,28,sheltered,Fucus vesiculosus
1993,28,sheltered,Fucus 
1993,28,sheltered,Cladophora
1993,28,sheltered,Clathromorphum circumscriptum
1993,28,sheltered,Ulva lactuca
1993,28,sheltered,Modiolus modiolus
1993,28,sheltered,Cryptosula pallasiana
1993,28,sheltered,Chaetomorpha ligustica
1993,28,sheltered,Corallina officinalis
1993,28,sheltered,Leathesia marina
1994,1,sheltered,Cyanobacteria
1994,1,sheltered,Verrucaria 
1994,1,sheltered,Prasiola stipitata
1994,1,sheltered,Arthopyrenia
1994,1,sheltered,Fucus 
1994,1,sheltered,Fucus vesiculosus
1994,1,sheltered,Semibalanus balanoides
1994,1,sheltered,Ascophyllum nodosum
1994,1,sheltered,Ascophyllum nodosum
1994,1,sheltered,Hildenbrandia rubra
1994,1,sheltered,Audouinella 
1994,1,sheltered,Corallina 
1994,1,sheltered,Ralfsia 
1994,1,sheltered,Elachista fucicola
1994,1,sheltered,Ulva lactuca
1994,1,sheltered,Polysiphonia
1994,1,sheltered,Mytilus edulis
1994,1,sheltered,Ulva intestinalis
1994,1,sheltered,Fucus 
1994,1,sheltered,Mastocarpus stellatus
1994,1,sheltered,Chaetomorpha ligustica
1994,1,sheltered,Chondrus crispus
1994,1,sheltered,Chaetomorpha
1994,1,sheltered,Codium fragile
1994,1,sheltered,Fucus distichus
1994,1,sheltered,Modiolus modiolus
1994,2,sheltered,Semibalanus balanoides
1994,2,sheltered,Arthopyrenia
1994,2,sheltered,Hildenbrandia rubra
1994,2,sheltered,Prasiola stipitata
1994,2,sheltered,Fucus vesiculosus var. spiralis
1994,2,sheltered,Ascophyllum nodosum
1994,2,sheltered,Fucus vesiculosus
1994,2,sheltered,Mastocarpus stellatus
1994,2,sheltered,Mytilus edulis
1994,2,sheltered,Verrucaria 
1994,2,sheltered,Ulva intestinalis
1994,2,sheltered,Modiolus modiolus
1994,2,sheltered,Ulva lactuca
1994,2,sheltered,Chaetomorpha ligustica
1994,2,sheltered,Ascophyllum nodosum
1994,2,sheltered,Chondrus crispus
1994,2,sheltered,Ceramium virgatum
1994,2,sheltered,Fucus 
1994,2,sheltered,Leathesia marina
1994,2,sheltered,Codium fragile
1994,2,sheltered,Corallina officinalis
1994,2,sheltered,Corallina 
1994,5,sheltered,Semibalanus balanoides
1994,5,sheltered,Ascophyllum nodosum
1994,5,sheltered,Ascophyllum nodosum
1994,5,sheltered,Hildenbrandia rubra
1994,5,sheltered,Verrucaria 
1994,5,sheltered,Chondrus crispus
1994,5,sheltered,Chondrus crispus
1994,5,sheltered,Corallina 
1994,5,sheltered,Fucus distichus
1994,5,sheltered,Modiolus modiolus
1994,5,sheltered,Mytilus edulis
1994,5,sheltered,Corallina officinalis
1994,5,sheltered,Mastocarpus stellatus
1994,5,sheltered,Mastocarpus stellatus
1994,5,sheltered,Chaetomorpha ligustica
1994,5,sheltered,Ceramium virgatum
1994,5,sheltered,Ralfsia 
1994,5,sheltered,Chaetomorpha
1994,5,sheltered,Codium fragile
1994,5,sheltered,Ulva lactuca
1994,7,sheltered,Verrucaria 
1994,7,sheltered,Prasiola stipitata
1994,7,sheltered,Arthopyrenia
1994,7,sheltered,Ascophyllum nodosum
1994,7,sheltered,Ascophyllum nodosum
1994,7,sheltered,Hildenbrandia rubra
1994,7,sheltered,Mastocarpus stellatus
1994,7,sheltered,Mytilus edulis
1994,7,sheltered,Polysiphonia
1994,7,sheltered,Semibalanus balanoides
1994,7,sheltered,Elachista fucicola
1994,7,sheltered,Mastocarpus stellatus
1994,7,sheltered,Ulva lactuca
1994,7,sheltered,Fucus 
1994,7,sheltered,Fucus distichus
1994,7,sheltered,Fucus vesiculosus
1994,7,sheltered,Modiolus modiolus
1994,7,sheltered,Corallina 
1994,7,sheltered,Chondrus crispus
1994,7,sheltered,Chaetomorpha ligustica
1994,7,sheltered,Corallina officinalis
1994,7,sheltered,Chaetomorpha
1994,7,sheltered,Clathromorphum circumscriptum
1994,7,sheltered,Ahnfeltia plicata
1994,7,sheltered,Halichondria
1994,7,sheltered,Ceramium virgatum
1994,7,sheltered,Codium fragile
1994,13,exposed,Cyanobacteria
1994,13,exposed,Verrucaria 
1994,13,exposed,Arthopyrenia
1994,13,exposed,Fucus 
1994,13,exposed,Fucus vesiculosus var. spiralis
1994,13,exposed,Semibalanus balanoides
1994,13,exposed,Hildenbrandia rubra
1994,13,exposed,Mytilus edulis
1994,13,exposed,Ulva lactuca
1994,13,exposed,Ascophyllum nodosum
1994,13,exposed,Ascophyllum nodosum
1994,13,exposed,Elachista fucicola
1994,13,exposed,Mastocarpus stellatus
1994,13,exposed,Mastocarpus stellatus
1994,13,exposed,Fucus distichus
1994,13,exposed,Chondrus crispus
1994,13,exposed,Mastocarpus stellatus
1994,13,exposed,Ceramium virgatum
1994,13,exposed,Corallina 
1994,13,exposed,Polysiphonia
1994,13,exposed,Pylaiella littoralis
1994,13,exposed,Chondrus crispus
1994,13,exposed,Chaetomorpha ligustica
1994,13,exposed,Modiolus modiolus
1994,13,exposed,Halichondria
1994,13,exposed,Alaria esculenta
1994,15,exposed,Arthopyrenia
1994,15,exposed,Semibalanus balanoides
1994,15,exposed,Mytilus edulis
1994,15,exposed,Hildenbrandia rubra
1994,15,exposed,Fucus 
1994,15,exposed,Fucus distichus
1994,15,exposed,Ascophyllum nodosum
1994,15,exposed,Ascophyllum nodosum
1994,15,exposed,Ceramium virgatum
1994,15,exposed,Ulva lactuca
1994,15,exposed,Ceramium virgatum
1994,15,exposed,Chondrus crispus
1994,15,exposed,Chondrus crispus
1994,15,exposed,Fucus vesiculosus var. spiralis
1994,15,exposed,Mastocarpus stellatus
1994,15,exposed,Mastocarpus stellatus
1994,15,exposed,Porphyra
1994,15,exposed,Corallina 
1994,15,exposed,Chordaria flagelliformis
1994,15,exposed,Alaria esculenta
1994,15,exposed,Alaria esculenta
1994,17,exposed,Cyanobacteria
1994,17,exposed,Arthopyrenia
1994,17,exposed,Fucus vesiculosus
1994,17,exposed,Ascophyllum nodosum
1994,17,exposed,Semibalanus balanoides
1994,17,exposed,Verrucaria 
1994,17,exposed,Hildenbrandia rubra
1994,17,exposed,Fucus distichus
1994,17,exposed,Fucus 
1994,17,exposed,Mytilus edulis
1994,17,exposed,Chondrus crispus
1994,17,exposed,Mastocarpus stellatus
1994,17,exposed,Clathromorphum circumscriptum
1994,20,exposed,Arthopyrenia
1994,20,exposed,Semibalanus balanoides
1994,20,exposed,Hildenbrandia rubra
1994,20,exposed,Mytilus edulis
1994,20,exposed,Ascophyllum nodosum
1994,20,exposed,Fucus distichus
1994,20,exposed,Verrucaria 
1994,20,exposed,Fucus 
1994,20,exposed,Ulva lactuca
1994,20,exposed,Porphyra
1994,20,exposed,Ceramium virgatum
1994,20,exposed,Chondrus crispus
1994,20,exposed,Alaria esculenta
1994,20,exposed,Chordaria flagelliformis
1994,20,exposed,Saccharina latissima
1994,20,exposed,Corallina 
1994,20,exposed,Corallina officinalis
1994,22,exposed,Arthopyrenia
1994,22,exposed,Semibalanus balanoides
1994,22,exposed,Hildenbrandia rubra
1994,22,exposed,Verrucaria 
1994,22,exposed,Mytilus edulis
1994,22,exposed,Fucus distichus
1994,22,exposed,Fucus 
1994,22,exposed,Cladophora
1994,22,exposed,Ceramium virgatum
1994,22,exposed,Ulva lactuca
1994,22,exposed,Chondrus crispus
1994,22,exposed,Mastocarpus stellatus
1994,22,exposed,Ceramium virgatum
1994,22,exposed,Chondrus crispus
1994,22,exposed,Alaria esculenta
1994,22,exposed,Alaria esculenta
1994,22,exposed,Porphyra
1994,22,exposed,Devaleraea ramentacea
1994,22,exposed,Corallina 
1994,24,exposed,Arthopyrenia
1994,24,exposed,Semibalanus balanoides
1994,24,exposed,Fucus 
1994,24,exposed,Fucus vesiculosus var. spiralis
1994,24,exposed,Hildenbrandia rubra
1994,24,exposed,Fucus 
